text, intent
send 500 to mobile number 9912381230, transfer_money 
use upi to send 250 to dad, transfer_money
i need to pay ravi 250 via upi, transfer_money
do i have money for a 500 purchase, check_balance
request for money, request_money 
i need to transfer 1500 to arjun via upi, transfer_money
send 500, transfer_money
send money to jefin upi, transfer_money
check account balance, check_balance
current balance, check_balance
i need to check my balance, check_balance
balance please, check_balance
start a new money request, request_money
collect money from dad, request_money
balance check please, check_balance
kitna balance hai, check_balance
it's a request for 250 from dad, request_money
transfer 5000 to priya, transfer_money
alright show me my balance, check_balance
nudge priya for 2000, request_money
do i have enough money, check_balance
nudge arjun for 750, request_money
can you get 5000 from mom, request_money
fetch my current balance, check_balance
make a payment to jefin, transfer_money
i'd like to ask mom for 250, request_money
ping dad for payment, request_money
i need a balance update, check_balance
i need to pay dad 250 via upi, transfer_money
could you fetch my account balance, check_balance
how much money is left, check_balance
request for money, request_money
i want to pay anu ybl 100, transfer_money
make a payment to anu, transfer_money
i would like to make a balance enquiry, check_balance
what is my remaining balance, check_balance
debit my account for 100 and send to dad, transfer_money
i'd like to transfer 750 to jefin using upi, transfer_money
could you send 2000 to priya for me, transfer_money
can i afford 250, check_balance
ask ravi for 250, request_money
show me my balance, check_balance
i need to get paid 750 by mom, request_money
balance please, check_balance
current balance, check_balance
wire 750 to arjun, transfer_money
send 2000 to mom, transfer_money
ping jefin for 1000, request_money
what is my upi account balance, check_balance
show me my balance, check_balance
tell me the numbers, check_balance
bill mom for 2000, request_money
balance kitna hai, check_balance
initiate a money request for 750 from priya, request_money
pay 500 to ravi, transfer_money
balance check please, check_balance
send ravi a bill for 2000, request_money
how much can i spend, check_balance
send money to ravi, transfer_money
remind ravi to send me 1000, request_money
is there enough money in my account, check_balance
please provide my account balance, check_balance
pay arjun, transfer_money
send 750 to mobile number 9876543210, transfer_money
remind jefin to send me 5000, request_money
balance please, check_balance
request 1000 from the number 9912381230, request_money
how much can i spend, check_balance
let me know my balance, check_balance
from ravi please get 250, request_money
i need to transfer 750 rupees, transfer_money
reveal my balance, check_balance
am i broke, check_balance
provide balance details, check_balance
 ask jefin to pay 2000, request_money
let me know my balance, check_balance
check funds, check_balance
what's my balance, check_balance
